RAL,RGB,HEX,CMYK,English
RAL 1000,205-186-136,#CDBA88,0-9-34-20,Green beige
RAL 1001,208-176-132,#D0B084,0-15-37-18,Beige
RAL 1002,210-170-109,#D2AA6D,0-19-48-18,Sand yellow
RAL 1003,249-169-0,#F9A900,0-32-100-2,Signal yellow
RAL 1004,228-158-0,#E49E00,0-31-100-11,Golden yellow
RAL 1005,203-143-0,#CB8F00,0-30-100-20,Honey yellow
RAL 1006,225-144-0,#E19000,0-36-100-12,Maize yellow
RAL 1007,232-140-0,#E88C00,0-40-100-9,Daffodil yellow
RAL 1011,175-128-80,#AF8050,0-27-54-31,Brown beige
RAL 1012,221-175-40,#DDAF28,0-21-82-13,Lemon yellow
RAL 1013,227-217-199,#E3D9C7,0-4-12-11,Oyster white
RAL 1014,221-196-155,#DDC49B,0-11-30-13,Ivory
RAL 1015,230-210-181,#E6D2B5,0-9-21-10,Light ivory
RAL 1016,241-221-57,#F1DD39,0-8-76-5,Sulfur yellow
RAL 1017,246-169-81,#F6A951,0-31-67-4,Saffron yellow
RAL 1018,250-202-49,#FACA31,0-19-80-2,Zinc yellow
RAL 1019,164-143-122,#A48F7A,0-13-26-36,Grey beige
RAL 1020,160-143-101,#A08F65,0-11-37-37,Olive yellow
RAL 1021,246-182-0,#F6B600,0-26-100-4,Colza yellow
RAL 1023,247-181-0,#F7B500,0-27-100-3,Traffic yellow
RAL 1024,186-143-76,#BA8F4C,0-23-59-27,Ochre yellow
RAL 1026,255-255-0,#FFFF00,0-0-100-0,Luminous yellow
RAL 1027,167-127-15,#A77F0F,0-24-91-35,Curry
RAL 1028,255-156-0,#FF9C00,0-39-100-0,Melon yellow
RAL 1032,226-163-0,#E2A300,0-28-100-11,Broom yellow
RAL 1033,249-154-29,#F99A1D,0-38-88-2,Dahlia yellow
RAL 1034,235-156-82,#EB9C52,0-34-65-8,Pastel yellow
RAL 1035,143-131-112,#8F8370,0-8-22-44,Pearl beige
RAL 1036,128-100-64,#806440,0-22-50-50,Pearl gold
RAL 1037,240-146-0,#F09200,0-39-100-6,Sun yellow
RAL 2000,218-110-0,#DA6E00,0-50-100-15,Yellow orange
RAL 2001,186-72-28,#BA481C,0-61-85-27,Red orange
RAL 2002,191-57-34,#BF3922,0-70-82-25,Vermilion
RAL 2003,246-120-41,#F67829,0-51-83-4,Pastel orange
RAL 2004,226-83-4,#E25304,0-63-98-11,Pure orange
RAL 2005,255-77-8,#FF4D08,0-70-97-0,Luminous orange
RAL 2007,255-178-0,#FFB200,0-30-100-0,Luminous bright orange
RAL 2008,236-107-34,#EC6B22,0-55-86-7,Bright red orange
RAL 2009,222-83-8,#DE5308,0-63-96-13,Traffic orange
RAL 2010,208-93-41,#D05D29,0-55-80-18,Signal orange
RAL 2011,226-110-15,#E26E0F,0-51-93-11,Deep orange
RAL 2012,213-101-78,#D5654E,0-53-63-16,Salmon orange
RAL 2013,146-62-37,#923E25,0-58-75-43,Pearl orange
RAL 2017,252-85-0,#FC5500,0-66-100-1,RAL orange
RAL 3000,167-41-32,#A72920,0-75-81-35,Flame red
RAL 3001,155-36-35,#9B2423,0-77-77-39,Signal red
RAL 3002,155-35-33,#9B2321,0-77-79-39,Carmine red
RAL 3003,134-26-34,#861A22,0-81-75-47,Ruby red
RAL 3004,107-28-35,#6B1C23,0-74-67-58,Purple red
RAL 3005,89-25-31,#59191F,0-72-65-65,Wine red
RAL 3007,62-32-34,#3E2022,0-48-45-76,Black red
RAL 3009,109-52-45,#6D342D,0-52-59-57,Oxide red
RAL 3011,120-36-35,#782423,0-70-71-53,Brown red
RAL 3012,197-133-109,#C5856D,0-32-45-23,Beige red
RAL 3013,151-46-37,#972E25,0-70-75-41,Tomato red
RAL 3014,203-115-117,#CB7375,0-43-42-20,Antique pink
RAL 3015,216-160-166,#D8A0A6,0-26-23-15,Light pink
RAL 3016,166-61-48,#A63D30,0-63-71-35,Coral red
RAL 3017,202-85-93,#CA555D,0-58-54-21,Rose
RAL 3018,198-63-74,#C63F4A,0-68-63-22,Strawberry red
RAL 3020,187-31-17,#BB1F11,0-83-91-27,Traffic red
RAL 3022,207-105-85,#CF6955,0-49-59-19,Salmon pink
RAL 3024,255-45-33,#FF2D21,0-82-87-0,Luminous red
RAL 3026,255-42-28,#FF2A1C,0-84-89-0,Luminous bright red
RAL 3027,171-39-60,#AB273C,0-77-65-33,Raspberry red
RAL 3028,204-44-36,#CC2C24,0-78-82-20,Pure red
RAL 3031,166-52-55,#A63437,0-69-67-35,Orient red
RAL 3032,112-29-36,#701D24,0-74-68-56,Pearl ruby red
RAL 3033,165-58-46,#A53A2E,0-65-72-35,Pearl pink
RAL 4001,129-97-131,#816183,2-26-0-49,Red lilac
RAL 4002,141-60-75,#8D3C4B,0-57-47-45,Red violet
RAL 4003,196-97-140,#C4618C,0-51-29-23,Heather violet
RAL 4004,101-30-56,#651E38,0-70-45-60,Claret violet
RAL 4005,118-104-154,#76689A,23-32-0-40,Blue lilac
RAL 4006,144-51-115,#903373,0-65-20-44,Traffic purple
RAL 4007,71-36-60,#47243C,0-49-15-72,Purple violet
RAL 4008,132-76-130,#844C82,0-42-2-48,Signal violet
RAL 4009,157-134-146,#9D8692,0-15-7-38,Pastel violet
RAL 4010,187-64-119,#BB4077,0-66-36-27,Telemagenta
RAL 4011,110-99-135,#6E6387,19-27-0-47,Pearl violet
RAL 4012,106-107-127,#6A6B7F,17-16-0-50,Pearl blackberry
RAL 5000,48-79-110,#304F6E,56-28-0-57,Violet blue
RAL 5001,14-76-100,#0E4C64,86-24-0-61,Green blue
RAL 5002,0-56-122,#00387A,100-54-0-52,Ultramarine blue
RAL 5003,31-56-85,#1F3855,64-34-0-67,Sapphire blue
RAL 5004,25-30-40,#191E28,38-25-0-84,Black blue
RAL 5005,0-83-135,#005387,100-39-0-47,Signal blue
RAL 5007,55-107-140,#376B8C,61-24-0-45,Brillant blue
RAL 5008,43-58-68,#2B3A44,37-15-0-73,Grey blue
RAL 5009,33-95-120,#215F78,73-21-0-53,Azure blue
RAL 5010,0-79-124,#004F7C,100-36-0-51,Gentian blue
RAL 5011,26-43-60,#1A2B3C,57-28-0-76,Steel blue
RAL 5012,0-137-182,#0089B6,100-25-0-29,Light blue
RAL 5013,25-49-83,#193153,70-41-0-67,Cobalt blue
RAL 5014,99-125-150,#637D96,34-17-0-41,Pigeon blue
RAL 5015,0-124-175,#007CAF,100-29-0-31,Sky blue
RAL 5017,0-91-140,#005B8C,100-35-0-45,Traffic blue
RAL 5018,4-139-140,#048B8C,97-1-0-45,Turquoise blue
RAL 5019,0-94-131,#005E83,100-28-0-49,Capri blue
RAL 5020,0-65-75,#00414B,100-13-0-71,Ocean blue
RAL 5021,0-117-119,#007577,100-2-0-53,Water blue
RAL 5022,34-45-90,#222D5A,62-50-0-65,Night blue
RAL 5023,65-105-140,#41698C,54-25-0-45,Distant blue
RAL 5024,96-147-172,#6093AC,44-15-0-33,Pastel blue
RAL 5025,32-105-124,#20697C,74-15-0-51,Pearl gentian blue
RAL 5026,15-48-82,#0F3052,82-41-0-68,Pearl night blue
RAL 6000,60-116-96,#3C7460,48-0-17-55,Patina green
RAL 6001,54-103-53,#366735,48-0-49-60,Emerald green
RAL 6002,50-89-40,#325928,44-0-55-65,Leaf green
RAL 6003,80-83-60,#50533C,4-0-28-67,Olive green
RAL 6004,2-68-66,#024442,97-0-3-73,Blue green
RAL 6005,17-66-50,#114232,74-0-24-74,Moss green
RAL 6006,60-57-46,#3C392E,0-5-23-76,Grey olive
RAL 6007,44-50-34,#2C3222,12-0-32-80,Bottle green
RAL 6008,54-52-42,#36342A,0-4-22-79,Brown green
RAL 6009,39-53-42,#27352A,26-0-21-79,Fir green
RAL 6010,77-111-57,#4D6F39,31-0-49-56,Grass green
RAL 6011,107-124-89,#6B7C59,14-0-28-51,Reseda green
RAL 6012,47-61-58,#2F3D3A,23-0-5-76,Black green
RAL 6013,124-118-90,#7C765A,0-5-27-51,Reed green
RAL 6014,71-65-53,#474135,0-8-25-72,Yellow olive
RAL 6015,61-61-54,#3D3D36,0-0-11-76,Black olive
RAL 6016,0-105-76,#00694C,100-0-28-59,Turquoise green
RAL 6017,88-127-64,#587F40,31-0-50-50,May green
RAL 6018,96-153-59,#60993B,37-0-61-40,Yellow green
RAL 6019,185-206-172,#B9CEAC,10-0-17-19,Pastel green
RAL 6020,55-66-47,#37422F,17-0-29-74,Chrome green
RAL 6021,138-153-119,#8A9977,10-0-22-40,Pale green
RAL 6022,58-51-39,#3A3327,0-12-33-77,Olive drab
RAL 6024,0-131-81,#008351,100-0-38-49,Traffic green
RAL 6025,94-110-59,#5E6E3B,15-0-46-57,Fern green
RAL 6026,0-95-78,#005F4E,100-0-18-63,Opal green
RAL 6027,126-186-181,#7EBAB5,32-0-3-27,Light green
RAL 6028,49-84-66,#315442,42-0-21-67,Pine green
RAL 6029,0-111-61,#006F3D,100-0-45-56,Mint green
RAL 6032,35-127-82,#237F52,72-0-35-50,Signal green
RAL 6033,69-135-127,#45877F,49-0-6-47,Mint turquoise
RAL 6034,122-173-172,#7AADAC,29-0-1-32,Pastel turquoise
RAL 6035,25-77-37,#194D25,68-0-52-70,Pearl green
RAL 6036,4-87-75,#04574B,95-0-14-66,Pearl opal green
RAL 6037,0-139-41,#008B29,100-0-71-45,Pure green
RAL 6038,0-181-27,#00B51B,100-0-85-29,Luminous green
RAL 6039,179-196-62,#B3C43E,9-0-68-23,Fibrous green
RAL 7000,122-136-142,#7A888E,14-4-0-44,Squirrel grey
RAL 7001,140-151-156,#8C979C,10-3-0-39,Silver grey
RAL 7002,129-120-99,#817863,0-7-23-49,Olive grey
RAL 7003,121-118-105,#797669,0-2-13-53,Moss grey
RAL 7004,154-155-155,#9A9B9B,1-0-0-39,Signal grey
RAL 7005,107-110-107,#6B6E6B,3-0-3-57,Mouse grey
RAL 7006,118-106-94,#766A5E,0-10-20-54,Beige grey
RAL 7008,116-95-61,#745F3D,0-18-47-55,Khaki grey
RAL 7009,93-96-88,#5D6058,3-0-8-62,Green grey
RAL 7010,88-92-86,#585C56,4-0-7-64,Tarpaulin grey
RAL 7011,82-89-93,#52595D,12-4-0-64,Iron grey
RAL 7012,87-93-94,#575D5E,7-1-0-63,Basalt grey
RAL 7013,87-80-68,#575044,0-8-22-66,Brown grey
RAL 7015,79-83-88,#4F5358,10-6-0-65,Slate grey
RAL 7016,56-62-66,#383E42,15-6-0-74,Anthracite grey
RAL 7021,47-50-52,#2F3234,10-4-0-80,Black grey
RAL 7022,76-74-68,#4C4A44,0-3-11-70,Umbra grey
RAL 7023,128-128-118,#808076,0-0-8-50,Concrete grey
RAL 7024,69-73-78,#45494E,12-6-0-69,Graphite grey
RAL 7026,55-67-69,#374345,20-3-0-73,Granite grey
RAL 7030,146-142-133,#928E85,0-3-9-43,Stone grey
RAL 7031,91-104-109,#5B686D,17-5-0-57,Blue grey
RAL 7032,181-176-161,#B5B0A1,0-3-11-29,Pebble grey
RAL 7033,127-130-116,#7F8274,2-0-11-49,Cement grey
RAL 7034,146-136-111,#92886F,0-7-24-43,Yellow grey
RAL 7035,197-199-196,#C5C7C4,1-0-2-22,Light grey
RAL 7036,151-147-146,#979392,0-3-3-41,Platinum grey
RAL 7037,122-123-122,#7A7B7A,1-0-1-52,Dusty grey
RAL 7038,176-176-169,#B0B0A9,0-0-4-31,Agate grey
RAL 7039,107-102-94,#6B665E,0-5-12-58,Quartz grey
RAL 7040,152-158-161,#989EA1,6-2-0-37,Window grey
RAL 7042,142-146-145,#8E9291,3-0-1-43,Traffic grey A
RAL 7043,79-82-80,#4F5250,4-0-2-68,Traffic grey B
RAL 7044,183-179-168,#B7B3A8,0-2-8-28,Silk grey
RAL 7045,141-146-149,#8D9295,5-2-0-42,Telegrey 1
RAL 7046,126-134-138,#7E868A,9-3-0-46,Telegrey 2
RAL 7047,200-200-199,#C8C8C7,0-0-0-22,Telegrey 4
RAL 7048,129-123-115,#817B73,0-5-11-49,Pearl mouse grey
RAL 8000,137-105-63,#89693F,0-23-54-46,Green brown
RAL 8001,157-98-43,#9D622B,0-38-73-38,Ochre brown
RAL 8002,121-77-62,#794D3E,0-36-49-53,Signal brown
RAL 8003,126-75-39,#7E4B27,0-40-69-51,Clay brown
RAL 8004,141-73-49,#8D4931,0-48-65-45,Copper brown
RAL 8007,112-70-43,#70462B,0-38-62-56,Fawn brown
RAL 8008,114-74-37,#724A25,0-35-68-55,Olive brown
RAL 8011,90-56-39,#5A3827,0-38-57-65,Nut brown
RAL 8012,102-51-43,#66332B,0-50-58-60,Red brown
RAL 8014,74-53-38,#4A3526,0-28-49-71,Sepia brown
RAL 8015,94-47-38,#5E2F26,0-50-60-63,Chestnut brown
RAL 8016,76-43-32,#4C2B20,0-43-58-70,Mahogany brown
RAL 8017,68-47-41,#442F29,0-31-40-73,Chocolate brown
RAL 8019,61-54-53,#3D3635,0-11-13-76,Grey brown
RAL 8022,26-23-25,#1A1719,0-12-4-90,Black brown
RAL 8023,164-87-41,#A45729,0-47-75-36,Orange brown
RAL 8024,121-80-56,#795038,0-34-54-53,Beige brown
RAL 8025,117-88-71,#755847,0-25-39-54,Pale brown
RAL 8028,81-58-42,#513A2A,0-28-48-68,Terra brown
RAL 8029,127-64-49,#7F4031,0-50-61-50,Pearl copper
RAL 9001,233-224-210,#E9E0D2,0-4-10-9,Cream
RAL 9002,214-213-203,#D6D5CB,0-0-5-16,Grey white
RAL 9003,236-236-231,#ECECE7,0-0-2-7,Signal white
RAL 9004,43-43-44,#2B2B2C,2-2-0-83,Signal black
RAL 9005,14-14-16,#0E0E10,13-13-0-94,Jet black
RAL 9006,161-161-160,#A1A1A0,0-0-1-37,White aluminium
RAL 9007,134-133-129,#868581,0-1-4-47,Grey aluminium
RAL 9010,241-237-225,#F1EDE1,0-2-7-5,Pure white
RAL 9011,39-41-43,#27292B,9-5-0-83,Graphite black
RAL 9012,248-242-225,#F8F2E1,0-2-9-3,Cleanroom white
RAL 9016,241-241-234,#F1F1EA,0-0-3-5,Traffic white
RAL 9017,41-41-42,#29292A,2-2-0-84,Traffic black
RAL 9018,200-203-196,#C8CBC4,1-0-3-20,Papyrus white
RAL 9022,133-133-131,#858583,0-0-2-48,Pearl light grey
RAL 9023,120-123-122,#787B7A,2-0-1-52,Pearl dark grey
