Абабурово;P;Ababurovo
Акиньшино;D;Akinshino
Акулово;D;Akulovo
Акулово;D;Akulovo
Акулово;P;Akulovo
Александрово;D;Aleksandrovo
Алхимово;D;Alhimovo
Алымовка;D;Alymovka
Андреевское;D;Andreevskoe
Анкудиново;D;Ankudinovo
Армазово;D;Armazovo
Армейский;P;Armejskij
Архангельское;D;Arhangelskoe
Бабенки;D;Babenki
Бакланово;D;Baklanovo
Бараново;D;Baranovo
Батыбино;D;Batybino
Бачурино;D;Bachurino
Безобразово;D;Bezobrazovo
Белоусово;D;Belousovo
Богородское;D;Bogorodskoe
Богоявление;S;Bogoyavlenie
БольшоеПокровское;D;BolshoePokrovskoe
БольшоеСвинорье;D;BolshoeSvinore
Ботаково;D;Botakovo
Брёхово;H;Bryohovo
Бунчиха;D;Bunchiha
Бурцево;D;Burczevo
Былово;S;Bylovo
Валуево;P;Valuevo
Варварино;D;Varvarino
Васюнино;D;Vasyunino
Ватутинки;D;Vatutinki
ВерхнееВалуево;D;VerhneeValuevo
Верховье;D;Verhove
Власово;D;Vlasovo
Власьево;D;Vlasevo
Внуково;D;Vnukovo
Внуково;P;Vnukovo
Внуково;P;Vnukovo
Внуково;Pst;Vnukovo
Вороново;S;Voronovo
Ворсино;D;Vorsino
Восточный;P;Vostochnyj
Вяткино;D;Vyatkino
Газопровод;P;Gazoprovod
Говорово;D;Govorovo
Голенищево;D;Golenishchevo
Голохвастово;D;Golohvastovo
Голохвастово;D;Golohvastovo
Горнево;D;Gornevo
Городище;D;Gorodishche
Городок;D;Gorodok
Горчаково;D;Gorchakovo
Губкино;D;Gubkino
Губцево;D;Gubczevo
Давыдково;D;Davydkovo
Давыдово;D;Davydovo
Девятское;D;Devyatskoe
Десна;D;Desna
ДетскогоДомаМолодаяГвардия;P;DetskogoDomaMolodayaGvardiya
Дешино;D;Deshino
Дмитровка;D;Dmitrovka
Долгино;D;Dolgino
ДомаОтдыхаВороново;P;DomaOtdyhaVoronovo
ДомаОтдыхаПахра;P;DomaOtdyhaPahra
ДомаОтдыхаПлесково;P;DomaOtdyhaPleskovo
ДорожноРемонтногоПункта;P;DorozhnoRemontnogoPunkta
Дровнино;D;Drovnino
ДскМичуринец;P;DskMichurinecz
Дубовка;D;Dubovka
Дудкино;D;Dudkino
Евсеево;D;Evseevo
Елизарово;D;Elizarovo
Ерино;D;Erino
Ерино;P;Erino
Жохово;D;Zhohovo
Жуковка;D;Zhukovka
Заболотье;D;Zabolote
ЗаводаМосрентген;P;ZavodaMosrentgen
Зверево;D;Zverevo
Зимёнки;D;Zimyonki
ЗнамяОктября;P;ZnamyaOktyabrya
ЗосимоваПустынь;P;ZosimovaPustyn
Зыбино;D;Zybino
Ивановское;D;Ivanovskoe
Иваньково;D;Ivankovo
Игнатово;D;Ignatovo
Изварино;D;Izvarino
Ильино;D;Ilino
Ильичёвка;H;Ilichyovka
ИнститутаПолиомиелита;P;InstitutaPoliomielita
Исаково;D;Isakovo
Каменка;D;Kamenka
Каменка;D;Kamenka
Капустинка;P;Kapustinka
Каракашево;D;Karakashevo
Картмазово;D;Kartmazovo
Киевский;RP;Kievskij
КирпичногоЗавода;P;KirpichnogoZavoda
Киселёвка;D;Kiselyovka
Киселёво;D;Kiselyovo
Клёновка;D;Klyonovka
Клёново;S;Klyonovo
Климовка;D;Klimovka
Клоково;D;Klokovo
Кнутово;D;Knutovo
Князево;D;Knyazevo
Кокошкино;DP;Kokoshkino
Колотилово;D;Kolotilovo
Коммунарка;P;Kommunarka
Конаково;D;Konakovo
Кончеево;D;Koncheevo
Конюшково;D;Konyushkovo
Коротыгино;D;Korotygino
Косовка;D;Kosovka
Костишово;D;Kostishovo
КраснаяПахра;D;KrasnayaPahra
КраснаяПахра;S;KrasnayaPahra
Красное;P;Krasnoe
Красное;S;Krasnoe
КрасныеГорки;P;KrasnyeGorki
Крёкшино;D;Kryokshino
Крёкшино;Pst;Kryokshino
Кресты;D;Kresty
Кривошеино;D;Krivosheino
Круги;P;Krugi
Круча;D;Krucha
Кувекино;D;Kuvekino
Кузенево;D;Kuzenevo
Кузнецово;D;Kuzneczovo
Кузовлёво;D;Kuzovlyovo
Кукшево;D;Kukshevo
Курилово;P;Kurilovo
Лаптево;D;Laptevo
Лапшинка;D;Lapshinka
Ларёво;D;Laryovo
Летово;D;Letovo
Ликова;D;Likova
Лмс;P;Lms
Лопатино;D;Lopatino
Лужки;D;Luzhki
Лукино;D;Lukino
Лукошкино;D;Lukoshkino
Лыковка;D;Lykovka
Львово;D;Lvovo
Маврино;D;Mavrino
Макарово;D;Makarovo
Малеевка;D;Maleevka
Малыгино;D;Malygino
Мамыри;D;Mamyri
Марушкино;D;Marushkino
Марфино;D;Marfino
Марьино;D;Marino
Марьино;P;Marino
Мачихино;D;Machihino
Мешково;D;Meshkovo
Мешково;D;Meshkovo
Милорадово;D;Miloradovo
Милюково;D;Milyukovo
Минвнешторга;P;Minvneshtorga
МихайловскогоЛесничества;P;MihajlovskogoLesnichestva
Михайловское;S;Mihajlovskoe
Молодцы;D;Molodczy
Московский;G;Moskovskij
Мостовское;D;Mostovskoe
Мякинино;D;Myakinino
Настасьино;D;Nastasino
Некрасовка;P;Nekrasovka
НижнееВалуево;D;NizhneeValuevo
НиколоХованское;D;NikoloHovanskoe
Никольское;S;Nikolskoe
Никоново;D;Nikonovo
Никульское;D;Nikulskoe
Новиково;D;Novikovo
Новинки;D;Novinki
Новобратцевский;P;Novobratczevskij
Новобрёхово;H;Novobryohovo
Новогромово;D;Novogromovo
Новомихайловское;D;Novomihajlovskoe
Овечкино;D;Ovechkino
Ожигово;D;Ozhigovo
Ознобишино;S;Oznobishino
Остафьево;P;Ostafevo
Остафьево;S;Ostafevo
Пахорка;D;Pahorka
Пенино;D;Penino
Первомайское;P;Pervomajskoe
ПервыйРабочий;P;PervyjRabochij
Пёсье;D;Pyose
Петрово;D;Petrovo
Писково;D;Piskovo
Подосинки;D;Podosinki
ПодсобногоХозяйстваВоскресенское;P;PodsobnogoHozyajstvaVoskresenskoe
ПодсобногоХозяйстваМинзаг;P;PodsobnogoHozyajstvaMinzag
Пожитково;Prazd;Pozhitkovo
Покровское;S;Pokrovskoe
Поляны;D;Polyany
Поповка;D;Popovka
Постниково;D;Postnikovo
Починки;D;Pochinki
Прокшино;D;Prokshino
Птичное;P;Ptichnoe
ПудовоСипягино;D;PudovoSipyagino
Пучково;D;Puchkovo
Пушкино;D;Pushkino
Пыхтино;D;Pyhtino
Пыхчево;D;Pyhchevo
Пятовское;D;Pyatovskoe
Радиоцентр;P;Radioczentr
Раево;D;Raevo
Рассказовка;D;Rasskazovka
Рассудово;D;Rassudovo
Рассудово;P;Rassudovo
Расторопово;D;Rastoropovo
Рогово;P;Rogovo
Рогозинино;D;Rogozinino
Рождественно;D;Rozhdestvenno
Рожново;D;Rozhnovo
Романцево;D;Romanczevo
Рублёво;P;Rublyovo
Руднево;D;Rudnevo
Румянцево;D;Rumyanczevo
Русино;D;Rusino
Рыбино;D;Rybino
Рыжово;D;Ryzhovo
Рязаново;D;Ryazanovo
Саларьево;D;Salarevo
Сальково;D;Salkovo
Сальково;S;Salkovo
Санино;D;Sanino
СатиноРусское;D;SatinoRusskoe
СатиноТатарское;D;SatinoTatarskoe
Сахарово;D;Saharovo
Свитино;D;Svitino
Свитино;S;Svitino
Секерино;P;Sekerino
Семенково;D;Semenkovo
СенькиноСекерино;D;SenkinoSekerino
Середнево;D;Serednevo
СовхозаКрёкшино;P;SovhozaKryokshino
Соколово;D;Sokolovo
Сосенки;D;Sosenki
Софьино;D;Sofino
СпасКупля;D;SpasKuplya
Спортбазы;P;Sportbazy
Станиславль;D;Stanislavl
Мачихино;Pst;Machihino
Старогромово;D;Starogromovo
Староселье;D;Starosele
Старосырово;D;Starosyrovo
Столбово;D;Stolbovo
Страдань;D;Stradan
Студенцы;D;Studenczy
Талызина;H;Talyzina
Тарасово;D;Tarasovo
Терехово;D;Terehovo
Тетеринки;D;Teterinki
Товарищево;D;Tovarishchevo
Толстопальцево;D;Tolstopalczevo
Толстопальцево;P;Tolstopalczevo
Троица;D;Troicza
Троицк;G;Troiczk
Троицкое;D;Troiczkoe
Тупиково;D;Tupikovo
Уварово;D;Uvarovo
УльяновскогоЛесопарка;P;UlyanovskogoLesoparka
ФабрикиИмениПервогоМая;P;FabrikiImeniPervogoMaya
Фёдоровское;D;Fyodorovskoe
Филимонки;P;Filimonki
Филино;D;Filino
Фоминское;D;Fominskoe
Харьино;D;Harino
Хатминки;D;Hatminki
Хмырово;D;Hmyrovo
ХутораГуляевы;H;HutoraGulyaevy
Чегодаево;D;Chegodaevo
Черепово;D;Cherepovo
Чернецкое;D;Cherneczkoe
Чириково;D;Chirikovo
Чириково;D;Chirikovo
Шаганино;D;Shaganino
Шарапово;D;Sharapovo
Шарапово;D;Sharapovo
Шахово;D;Shahovo
Шеломово;D;Shelomovo
Шельбутово;D;Shelbutovo
Ширяево;D;Shiryaevo
ШишкинЛес;P;ShishkinLes
Щапово;P;Shchapovo
Щербинка;G;Shcherbinka
Юдановка;D;Yudanovka
Юрово;D;Yurovo
Юрово;D;Yurovo
Юрьевка;D;Yurevka
Юрьево;D;Yurevo
Язово;D;Yazovo
Яковлево;D;Yakovlevo
Яковлевское;D;Yakovlevskoe
Ямонтово;D;Yamontovo
Ярцево;D;Yarczevo
Ясенки;D;Yasenki
Внуковское;Pos;Vnukovskoe
Воскресенское;Pos;Voskresenskoe
Десёновское;Pos;Desyonovskoe
Киевский;Pos;Kievskij
Клёновское;Pos;Klyonovskoe
Кокошкино;Pos;Kokoshkino
Краснопахорское;Pos;Krasnopahorskoe
Марушкинское;Pos;Marushkinskoe
Михайлово-Ярцевское;Pos;MihajlovoYarczevskoe
Московский;Pos;Moskovskij
Мосрентген;Pos;Mosrentgen
Новофёдоровское;Pos;Novofyodorovskoe
Первомайское;Pos;Pervomajskoe
Роговское;Pos;Rogovskoe
Рязановское;Pos;Ryazanovskoe
Сосенское;Pos;Sosenskoe
Троицк;Pos;Troiczk
Филимонковское;Pos;Filimonkovskoe
Щаповское;Pos;Shchapovskoe
Щербинка;Pos;Shcherbinka
